Minecraft Skeleton Floss,March 14 2019,,,
Minecraft Skeleton Best Mates,June 13 2019,,,
Track Hand Torch,June 12 2019,,,
Bulb Blocky,June 13 2019,,,
Glowing Box and circles in Cage,June 13 2019,,,
Pears in A Basket v1,June 16 2019,,,
Pink Flower in A pot,July 13 2019,,,
Green Turtle,July 13 2019,,,
Fur Ball,August 12 2019,,,
Minecraft Back Facing Shot,August 12 2019,,,
First Camera Motion Tracking Video,August 14 2019,,,
Stop Motion HotWheels Race,August 14 2019,,,
Cloth Sim And Dino 3D,August 25 2019,,,
Mr Buns ,September 6 2019,,,
Cello,September 30 2019, October 6 2019,October 11 2019,October 24 2019
LightBulb,October 12 2019,,,
Jelly in A Bowl,October 25 2019,,,
Tree And a Butterfly,October 28 2019, November 7 2019,,
Uriah Portal,November 6 2019,,,
Hand Gory,November 16 2019,,,
Pears in A Basket v2,December 1 2019,,,
Light Saber Red,December 1 2019,,,
Light Saber Green in Hand,December 1 2019,,,
Light Saber VFX Shot,December 1 2019,,,
Dino 3D,December 9 2019,,,
Ant,December 14 2019 ,,,
Mr Piggy,February 3 2020,,,
Blender Eyes On Suzanne,February 20 2020,,,
Baymax And the Ender dragon,March 8 2020,,,
Fire Sim On Paper,March 19 2020,,,
Explosion,March 22 2020,,,
Hand Lightning,March 23 2020,,,
Captain America Shield,April 12 2020,,,
Spot the Robot Dog,April 17 2020,,,
RagDoll Physics,April 26 2020,,,
Falling In A Ditch VFX Shot,April 28 2020,,,
Hair Sim on My Head VFX,May 18 2020,,,
Face Tracking,May 20 2020,,,
IMovie Apology Video,May 22 2020,,,
Rhys Clone,June 5 2020,,,
Rhys 3D clone PifuHD Mixamo Dancing,June 28 2020,,,
Copy Artidium Artwork Fishes,July 30 2020,,,
Zach King Magic of the Month Flying,August 1 2020,,,
Wall-E ,August 17 2020,,,
Dog 3D,September 6 2020,,,
3D Camera,September 13 2020,,,
ASMR Avocados in a Basket,September 22 2020,,,
M to the B Character LipSync Anime Girlfriend,December 19 2020,,,
Head Bobbing Anime Girlfriend,December 19 2020,,,
Sculpt January Eggs in the sky,January 3 2021,,,
Sculpt January Hot Cross Buns,January 4 2021,,,
Cubes Moving Satisfying,March 21 2021,,,
Marshmallow ,May 24 2021,,,
Anna,August 28 2021,,,
Snow Hair white Elf,September 25 2021,,,
Groot ,October 24 2021,,,
Pancake simulation Houdini,October 28 2021,,,
Theodore on the Dark side,November 23 2021,,,
Lips Sculpt,December 10 2021,,,
Face Sculpt on Paper 3D,December 23 2021,,,
Marshmallow Eating Marshmallow,March 10 2022,,,
Ice Cream,April 17 2022,,,
Eating Classes 3D Animation,May 13 2022,,,
Alvin My Money Don't Jiggle Jiggle ,May 21 2022,,,
Cant Help Falling In Love Music Video,,,,
Blue Robot,,,,
Rhys Josmin Website,April 17 2022,,,
Lamp Lighting DBCE ACM,July 6 2022,,,
Inspirus Website Redesign,October 25 2022,,,
ACM Website,March 20 2023,,,
Lamp Lighting DBCE E-Cell ,December 1 2023,,,
Lamp Lighting FiiRE,February 23 2023,,,
Avinya Website,November 24 2022  ,,,
Neural Kissan,September 25 2022,,,
Neural Kissan Concept Video,October 2 2022,,,
Neural Kissan Models,October 2 2023,,,
Neural Kissan Website,July 2 2024,,,
Neural Kissan Dashboard,,,,
Neural Kissan Main,,,,
Josiah Killer Queen Video Edit,June 29 2023,,,
Threads Clone React Native,July 10 2023,,,
Instagram Clone Tailwind,July 11 2023,,,
,,,,
Rigid Body Array,August 23 2020,,,
,,,,
https://drive.google.com/drive/u/0/folders/1Zv0gFYXby-fybz3wjKmWYzozzAz8AGBk,,,,
